
Pro Inside global      Inside local       Outside local      Outside global
tcp 172.25.40.31:51020 172.20.43.216:51020 204.11.109.67:443 204.11.109.67:443
tcp 172.25.40.31:50985 172.20.43.216:50985 216.58.210.163:80 216.58.210.163:80
tcp 172.25.40.31:1249  172.20.43.218:50120 104.16.173.25:80  104.16.173.25:80
tcp 172.25.40.31:1250  172.20.43.218:50121 104.16.173.25:80  104.16.173.25:80
tcp 172.25.40.31:51109 172.20.43.216:51109 5.175.83.83:443   5.175.83.83:443
tcp 172.25.40.31:50637 172.20.43.227:50637 216.58.210.170:443 216.58.210.170:443
tcp 172.25.40.31:51011 172.20.43.216:51011 130.206.192.15:80 130.206.192.15:80
tcp 172.25.40.31:51022 172.20.43.216:51022 130.206.192.9:80  130.206.192.9:80
tcp 172.25.40.31:50474 172.20.43.216:50474 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50475 172.20.43.216:50475 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50476 172.20.43.216:50476 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50477 172.20.43.216:50477 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50478 172.20.43.216:50478 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50479 172.20.43.216:50479 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:1463  172.20.43.216:50135 172.25.32.98:80   172.25.32.98:80
tcp 172.25.40.31:50480 172.20.43.216:50480 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50481 172.20.43.216:50481 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:50482 172.20.43.216:50482 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:51106 172.20.43.216:51106 216.239.32.57:443 216.239.32.57:443
tcp 172.25.40.31:51107 172.20.43.216:51107 216.239.32.57:443 216.239.32.57:443
tcp 172.25.40.31:51038 172.20.43.216:51038 130.206.192.16:80 130.206.192.16:80
tcp 172.25.40.31:50492 172.20.43.216:50492 192.0.77.2:80     192.0.77.2:80
tcp 172.25.40.31:51017 172.20.43.216:51017 130.206.192.40:80 130.206.192.40:80
tcp 172.25.40.31:1031  172.20.43.227:50621 176.32.108.183:443 176.32.108.183:443
tcp 172.25.40.31:1533  172.20.43.214:50008 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:51191 172.20.43.216:51191 23.223.65.16:443  23.223.65.16:443
tcp 172.25.40.31:50688 172.20.43.205:50688 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50690 172.20.43.205:50690 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50709 172.20.43.205:50709 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50710 172.20.43.205:50710 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50711 172.20.43.205:50711 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50712 172.20.43.205:50712 216.58.210.163:443 216.58.210.163:443
tcp 172.25.40.31:50708 172.20.43.205:50708 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:51096 172.20.43.216:51096 216.58.210.166:80 216.58.210.166:80
tcp 172.25.40.31:51097 172.20.43.216:51097 216.58.210.166:80 216.58.210.166:80
udp 172.25.40.31:50763 172.20.43.227:50763 172.25.40.52:53   172.25.40.52:53
tcp 172.25.40.31:50820 172.20.43.216:50820 216.58.211.194:80 216.58.211.194:80
tcp 172.25.40.31:50821 172.20.43.216:50821 216.58.211.194:80 216.58.211.194:80
tcp 172.25.40.31:1617  172.20.43.205:50546 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:1618  172.20.43.219:50125 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:1631  172.20.43.227:50450 216.58.210.174:443 216.58.210.174:443
tcp 172.25.40.31:50800 172.20.43.216:50800 216.58.210.162:443 216.58.210.162:443
tcp 172.25.40.31:1093  172.20.43.200:50030 88.221.236.50:443 88.221.236.50:443
tcp 172.25.40.31:1094  172.20.43.200:50031 88.221.236.50:443 88.221.236.50:443
